X,Y,FID,OBJECTID,ID,INV_MOVIMI,F35DOV_TIP,TIPO,SUBTIPO_MO,SUBTIPO,CLAS_MAPA,ETIQUETA_M,ESRI_OID
-8156597.0911,564983.144499999,5001,-7.58397098089e+56,11348,34517,72,Reptación,8,Reptacion de suelos,Reptación,lr,5848
-8156509.2723,564726.4153,5002,-7.58397098089e+56,11349,34518,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5849
-8534184.1457,128869.736200001,5003,-7.58397098089e+56,11350,34519,71,Flujo,17,Flujo de tierra,Flujo,ft,5850
-8163961.1846,571538.273400001,5004,-7.58397098089e+56,11351,34520,67,Caida,20,Caida de detritos,Caida,cd,5851
-8162582.9875,571017.3182,5005,-7.58397098089e+56,11352,34521,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5852
-8166783.443,570029.749,5006,-7.58397098089e+56,11355,34522,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5853
-8534138.6902,128859.2205,5007,-7.58397098089e+56,11356,34523,71,Flujo,17,Flujo de tierra,Flujo,ft,5854
-8536484.7485,130293.991799999,5008,-7.58397098089e+56,11358,34524,67,Caida,20,Caida de detritos,Caida,cd,5855
-8180507.5901,561008.446800001,5009,-7.58397098089e+56,11360,34525,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5856
-8181156.9537,558937.9899,5010,-7.58397098089e+56,11361,34526,72,Reptación,8,Reptacion de suelos,Reptación,lr,5857
-8180581.8031,559133.547800001,5011,-7.58397098089e+56,11363,34527,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5859
-8179932.4393,557646.700300001,5012,-7.58397098089e+56,11364,34528,72,Reptación,8,Reptacion de suelos,Reptación,lr,5860
-8181141.4927,557718.093,5013,-7.58397098089e+56,11366,34529,71,Flujo,6,Flujo de lodo,Flujo,fl,5861
-8169681.4603,563241.936799999,5014,-7.58397098089e+56,11372,34530,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5862
-8165781.2583,566802.936099999,5015,-7.58397098089e+56,11373,34531,72,Reptación,8,Reptacion de suelos,Reptación,lr,5863
-8164298.5446,567186.0233,5016,-7.58397098089e+56,11374,34532,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5864
-8173088.7645,564877.596700002,5017,-7.58397098089e+56,11377,34533,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5866
-8173058.1516,565701.494,5018,-7.58397098089e+56,11378,34534,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5867
-8172878.8035,566338.5154,5019,-7.58397098089e+56,11379,34535,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5868
-8173478.0735,566098.545200001,5020,-7.58397098089e+56,11390,34536,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5873
-8173514.2523,566117.482099999,5021,-7.58397098089e+56,11391,34537,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5874
-8157287.5811,567652.622499999,5022,-7.58397098089e+56,11392,34538,67,Caida,20,Caida de detritos,Caida,cd,5875
-8165255.5829,564428.399700001,5023,-7.58397098089e+56,11394,34539,72,Reptación,8,Reptacion de suelos,Reptación,lr,5876
-8166742.6258,567816.5383,5024,-7.58397098089e+56,11395,34540,67,Caida,20,Caida de detritos,Caida,cd,5877
-8169418.9319,562666.717300002,5025,-7.58397098089e+56,11396,34541,67,Caida,23,Caida de Tierras,Caida,ct,5878
-8164547.1581,561028.3136,5026,-7.58397098089e+56,11397,34542,67,Caida,15,Caida de roca,Caida,cr,5879
-8163875.5305,561867.377799999,5027,-7.58397098089e+56,11398,34543,67,Caida,20,Caida de detritos,Caida,cd,5880
-8166867.551,559643.5528,5028,-7.58397098089e+56,11399,34544,72,Reptación,8,Reptacion de suelos,Reptación,lr,5881
-8169698.1583,559821.419100001,5029,-7.58397098089e+56,11400,34545,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5882
-8166988.4564,567633.064399999,5030,-7.58397098089e+56,11410,34546,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5891
-8170312.5801,565463.078200001,5031,-7.58397098089e+56,11413,34547,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5894
-8167854.2746,592423.426199999,5032,-7.58397098089e+56,11415,34548,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5895
-8536412.3598,131848.340100002,5033,-7.58397098089e+56,11443,34549,71,Flujo,5,Flujo de detritos,Flujo,fd,5917
-8536307.2558,131798.5449,5034,-7.58397098089e+56,11445,34550,71,Flujo,5,Flujo de detritos,Flujo,fd,5918
-8536115.2296,131933.827,5035,-7.58397098089e+56,11446,34551,71,Flujo,17,Flujo de tierra,Flujo,ft,5919
-8537383.9626,131763.41,5036,-7.58397098089e+56,11447,34552,71,Flujo,5,Flujo de detritos,Flujo,fd,5920
-8181703.9653,559630.8259,5037,-7.58397098089e+56,11448,34553,72,Reptación,8,Reptacion de suelos,Reptación,lr,5921
-8536286.538,131618.354499999,5038,-7.58397098089e+56,11450,34554,71,Flujo,17,Flujo de tierra,Flujo,ft,5922
-8182250.0493,559762.440699998,5039,-7.58397098089e+56,11451,34555,72,Reptación,8,Reptacion de suelos,Reptación,lr,5923
-8537107.5192,131913.104800001,5040,-7.58397098089e+56,11452,34556,71,Flujo,5,Flujo de detritos,Flujo,fd,5924
-8536101.0055,131814.442299999,5041,-7.58397098089e+56,11453,34557,71,Flujo,5,Flujo de detritos,Flujo,fd,5925
-8179867.8153,558500.004299998,5042,-7.58397098089e+56,11460,34558,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5930
-8180356.9995,558122.239799999,5043,-7.58397098089e+56,11462,34559,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5931
-8181481.6356,558067.298,5044,-7.58397098089e+56,11463,34560,72,Reptación,8,Reptacion de suelos,Reptación,lr,5932
-8182695.018,558266.268100001,5045,-7.58397098089e+56,11464,34561,72,Reptación,8,Reptacion de suelos,Reptación,lr,5933
-8179756.4927,557732.0612,5046,-7.58397098089e+56,11466,34562,69,Deslizamiento,3,Deslizamiento rotacional,Deslizamiento rotacional,dr,5934
-8178052.9953,558342.317699999,5047,-7.58397098089e+56,11467,34563,72,Reptación,8,Reptacion de suelos,Reptación,lr,5935
-8184153.3034,560554.927900001,5048,-7.58397098089e+56,11469,34564,69,Deslizamiento,4,Deslizamiento traslacional,Deslizamiento,dt,5936
